trade_date,underlier,expiry_date,strike,option_type,instrument_name,filename
2022-11-01,NIFTY,2022-11-03,16800,PE,NIFTY22110316800PE,NIFTY22110316800PE.csv
2022-11-01,NIFTY,2022-11-03,16850,PE,NIFTY22110316850PE,NIFTY22110316850PE.csv
2022-11-01,NIFTY,2022-11-03,16900,CE,NIFTY22110316900CE,NIFTY22110316900CE.csv
2022-11-01,NIFTY,2022-11-03,16900,PE,NIFTY22110316900PE,NIFTY22110316900PE.csv
2022-11-01,NIFTY,2022-11-03,16950,CE,NIFTY22110316950CE,NIFTY22110316950CE.csv
2022-11-01,NIFTY,2022-11-03,16950,PE,NIFTY22110316950PE,NIFTY22110316950PE.csv
2022-11-01,NIFTY,2022-11-03,17000,CE,NIFTY22110317000CE,NIFTY22110317000CE.csv
2022-11-01,NIFTY,2022-11-03,17000,PE,NIFTY22110317000PE,NIFTY22110317000PE.csv
2022-11-01,NIFTY,2022-11-03,17050,CE,NIFTY22110317050CE,NIFTY22110317050CE.csv
2022-11-01,NIFTY,2022-11-03,17050,PE,NIFTY22110317050PE,NIFTY22110317050PE.csv
2022-11-01,NIFTY,2022-11-03,17100,CE,NIFTY22110317100CE,NIFTY22110317100CE.csv
2022-11-01,NIFTY,2022-11-03,17100,PE,NIFTY22110317100PE,NIFTY22110317100PE.csv
2022-11-01,NIFTY,2022-11-03,17150,CE,NIFTY22110317150CE,NIFTY22110317150CE.csv
2022-11-01,NIFTY,2022-11-03,17150,PE,NIFTY22110317150PE,NIFTY22110317150PE.csv
2022-11-01,NIFTY,2022-11-03,17200,CE,NIFTY22110317200CE,NIFTY22110317200CE.csv
2022-11-01,NIFTY,2022-11-03,17200,PE,NIFTY22110317200PE,NIFTY22110317200PE.csv
2022-11-01,NIFTY,2022-11-03,17250,CE,NIFTY22110317250CE,NIFTY22110317250CE.csv
2022-11-01,NIFTY,2022-11-03,17250,PE,NIFTY22110317250PE,NIFTY22110317250PE.csv
2022-11-01,NIFTY,2022-11-03,17300,CE,NIFTY22110317300CE,NIFTY22110317300CE.csv
2022-11-01,NIFTY,2022-11-03,17300,PE,NIFTY22110317300PE,NIFTY22110317300PE.csv
2022-11-01,NIFTY,2022-11-03,17350,CE,NIFTY22110317350CE,NIFTY22110317350CE.csv
