trade_date,filename,underlier,expiry_date,strike,option_type,instrument_name,parse_status,failure_reason
2022-11-01,BANKNIFTY22110342900PE.csv,BANKNIFTY,2022-11-03,42900,PE,BANKNIFTY22110342900PE,OK,None
2022-11-01,BANKNIFTY22110343000CE.csv,BANKNIFTY,2022-11-03,43000,CE,BANKNIFTY22110343000CE,OK,None
2022-11-01,BANKNIFTY22110343000PE.csv,BANKNIFTY,2022-11-03,43000,PE,BANKNIFTY22110343000PE,OK,None
2022-11-01,BANKNIFTY22110343100CE.csv,BANKNIFTY,2022-11-03,43100,CE,BANKNIFTY22110343100CE,OK,None
2022-11-01,BANKNIFTY22110343100PE.csv,BANKNIFTY,2022-11-03,43100,PE,BANKNIFTY22110343100PE,OK,None
2022-11-01,BANKNIFTY22110343200CE.csv,BANKNIFTY,2022-11-03,43200,CE,BANKNIFTY22110343200CE,OK,None
2022-11-01,BANKNIFTY22110343200PE.csv,BANKNIFTY,2022-11-03,43200,PE,BANKNIFTY22110343200PE,OK,None
2022-11-01,BANKNIFTY22110343300CE.csv,BANKNIFTY,2022-11-03,43300,CE,BANKNIFTY22110343300CE,OK,None
2022-11-01,BANKNIFTY22110343400CE.csv,BANKNIFTY,2022-11-03,43400,CE,BANKNIFTY22110343400CE,OK,None
2022-11-01,BANKNIFTY22110343500CE.csv,BANKNIFTY,2022-11-03,43500,CE,BANKNIFTY22110343500CE,OK,None
2022-11-01,BANKNIFTY22110343500PE.csv,BANKNIFTY,2022-11-03,43500,PE,BANKNIFTY22110343500PE,OK,None
2022-11-01,BANKNIFTY22110343600CE.csv,BANKNIFTY,2022-11-03,43600,CE,BANKNIFTY22110343600CE,OK,None
2022-11-01,BANKNIFTY22110343700CE.csv,BANKNIFTY,2022-11-03,43700,CE,BANKNIFTY22110343700CE,OK,None
2022-11-01,BANKNIFTY22110343700PE.csv,BANKNIFTY,2022-11-03,43700,PE,BANKNIFTY22110343700PE,OK,None
2022-11-01,BANKNIFTY22110343800CE.csv,BANKNIFTY,2022-11-03,43800,CE,BANKNIFTY22110343800CE,OK,None
2022-11-01,BANKNIFTY22110343900CE.csv,BANKNIFTY,2022-11-03,43900,CE,BANKNIFTY22110343900CE,OK,None
2022-11-01,BANKNIFTY22110344000CE.csv,BANKNIFTY,2022-11-03,44000,CE,BANKNIFTY22110344000CE,OK,None
