trade_date,timestamp,underlier,expiry,strike,option_type,instrument_name,direction,price,quantity,reason
2022-11-16,2022-11-16 10:48:34,BANKNIFTY,2022-11-17,37500,PE,BANKNIFTY22111737500PE,BUY,3.5,1,ENTRY
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,2022-11-17,37500,CE,BANKNIFTY22111737500CE,SELL,4990.0,1,SQUAREOFF
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,2022-11-17,37500,PE,BANKNIFTY22111737500PE,SELL,2.55,1,SQUAREOFF
2022-11-17,2022-11-17 12:21:58,NIFTY,2022-11-17,15200,CE,NIFTY22111715200CE,BUY,3216.8,1,ENTRY
2022-11-17,2022-11-17 12:21:58,NIFTY,2022-11-17,15200,PE,NIFTY22111715200PE,BUY,0.2,1,ENTRY
2022-11-17,2022-11-17 15:29:59,NIFTY,2022-11-17,15200,CE,NIFTY22111715200CE,SELL,3176.9,1,SQUAREOFF
2022-11-17,2022-11-17 15:29:59,NIFTY,2022-11-17,15200,PE,NIFTY22111715200PE,SELL,0.05,1,SQUAREOFF
2022-11-17,2022-11-17 10:01:34,BANKNIFTY,2022-11-17,35000,CE,BANKNIFTY22111735000CE,BUY,7525.0,1,ENTRY
2022-11-17,2022-11-17 10:01:34,BANKNIFTY,2022-11-17,35000,PE,BANKNIFTY22111735000PE,BUY,1.4,1,ENTRY
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,2022-11-17,35000,CE,BANKNIFTY22111735000CE,SELL,7491.0,1,SQUAREOFF
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,2022-11-17,35000,PE,BANKNIFTY22111735000PE,SELL,0.2,1,SQUAREOFF
2022-11-18,2022-11-18 09:19:45,NIFTY,2022-11-24,14500,CE,NIFTY22112414500CE,BUY,3875.0,1,ENTRY
2022-11-18,2022-11-18 09:19:45,NIFTY,2022-11-24,14500,PE,NIFTY22112414500PE,BUY,0.75,1,ENTRY
2022-11-18,2022-11-18 15:29:59,NIFTY,2022-11-24,14500,CE,NIFTY22112414500CE,SELL,3851.05,1,SQUAREOFF
